nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
Skate,X360,Sports,Electronic Arts,0.69,14-Sep-07,86.0,59.0,8.4,124.0,EA Black Box
Your Shape featuring Jenny McCarthy,Wii,Sports,Ubisoft,2.02,24-Nov-09,62.0,5.0,5.2,54.0,Ubisoft
Winter Sports 2011,X360,Sports,DTP Entertainment,0.02,Canceled,,,,,DTP Entertainment
ICO,PS3,Adventure,Sony Computer Entertainment,0.06,,,,,,
Race Pro,X360,Racing,Atari,0.16,17-Feb-09,72.0,54.0,7.1,57.0,SimBin
Capcom Classics Collection Reloaded,PSP,Misc,Capcom,0.3,24-Oct-06,75.0,27.0,tbd,,Capcom
The Price is Right: Decades,Wii,Misc,Ubisoft,0.1,18-Oct-11,,,tbd,,Ludia Inc.
Red Faction: Guerrilla,X360,Shooter,THQ,0.83,2-Jun-09,85.0,84.0,8.1,207.0,Volition Inc.
11eyes: CrossOver,X360,Adventure,5pb,0.02,,,,,,
Tenchu San Portable,PSP,Action,From Software,0.01,,,,,,
Fit in Six,Wii,Sports,Ubisoft,0.1,15-Mar-11,,,tbd,,Blue Byte
Tetris Party Deluxe,Wii,Puzzle,Nintendo,0.53,25-May-10,72.0,19.0,7.5,4.0,"Tetris Online, Inc"
School Wars,PSP,Adventure,Quinrose,0.01,,,,,,
Earth Defense Force 2025,PS3,Shooter,D3Publisher,0.27,18-Feb-14,,,,,Sandlot
Robotics;Notes,X360,Adventure,5pb,0.02,,,,,,
Monopoly,Wii,Misc,Electronic Arts,1.85,20-Oct-08,70.0,11.0,7.7,13.0,Electronic Arts
Gaist Crusher,3DS,Action,Capcom,0.03,,,,,,
Ape Escape Academy,PSP,Misc,Sony Computer Entertainment,0.33,17-Jan-06,51.0,48.0,5.8,4.0,Shift
Jikkyou Powerful Pro Yakyuu 2013,PSV,Sports,Konami Digital Entertainment,0.07,,,,,,
TOCA Race Driver 2: Ultimate Racing Simulator,PSP,Racing,Codemasters,0.25,,,,,,
Marines: Modern Urban Combat,Wii,Shooter,O-Games,0.03,26-Jan-10,,,tbd,,Destineer
Chuck E. Cheese's Sports Games,Wii,Sports,UFO Interactive,0.02,3-Mar-11,,,tbd,,UFO Interactive
Muchi Muchi Pork & Pink Sweets,X360,Shooter,Cave,0.02,,,,,,
Little Battlers eXperience W,3DS,Action,Level 5,0.09,,,,,,
Transformers: Prime,3DS,Action,Activision,0.09,,,,,,
Rock Revolution,Wii,Misc,Unknown,0.08,11-Nov-08,46.0,4.0,tbd,,"Zoe Mode, HB Studios Multimedia"
Dance! It's Your Stage,PS3,Misc,DTP Entertainment,0.01,,,,,,
Pro Evolution Soccer 2008,PSP,Sports,Konami Digital Entertainment,0.98,11-Mar-08,80.0,17.0,6.9,10.0,Konami
Call of Duty: Modern Warfare 2,PS3,Shooter,Activision,10.31,10-Nov-09,94.0,67.0,6,1749.0,Infinity Ward
Dynasty Warriors 8,X360,Action,Tecmo Koei,0.1,16-Jul-13,65.0,21.0,7.2,27.0,Omega Force
Moe Moe 2-ji Taisen (Ryoku) * Deluxe,PSP,Adventure,System Soft,0.02,,,,,,
The Sims 2: Castaway,PSP,Simulation,Electronic Arts,0.76,22-Oct-07,64.0,5.0,7.4,15.0,Maxis
Transformers: Dark of the Moon,PS3,Action,Activision,0.26,14-Jun-11,57.0,41.0,5.5,21.0,High Moon Studios
Guitar Hero: Warriors of Rock,PS3,Misc,Activision,0.74,28-Sep-10,74.0,46.0,6.8,25.0,Neversoft Entertainment
Balloon Pop 2,3DS,Puzzle,UFO Interactive,0.01,7-Feb-12,,,tbd,,UFO Interactive
Jikkyou Powerful Pro Yakyuu 2011 Ketteiban,PS3,Sports,Konami Digital Entertainment,0.07,,,,,,
Samurai Shodown Sen,X360,Fighting,Rising Star Games,0.06,30-Mar-10,46.0,33.0,5.3,7.0,K2 LLC
LEGO Rock Band,Wii,Misc,Warner Bros. Interactive Entertainment,0.67,3-Nov-09,70.0,15.0,6.3,4.0,TT Fusion
Import Tuner Challenge (American sales),X360,Racing,Ubisoft,0.09,,,,,,
Def Jam Fight For NY: The Takeover,PSP,Action,Electronic Arts,0.09,29-Aug-06,79.0,25.0,8.7,15.0,Aki Corp.
Remington Super Slam Hunting: Alaska,Wii,Sports,Mastiff,0.08,3-May-11,,,tbd,,Jack of All Games
MLB,PSP,Sports,Sony Computer Entertainment,0.24,12-Apr-05,80.0,26.0,8.7,15.0,989 Sports
Tekken 3D: Prime Edition,3DS,Fighting,Nintendo,0.14,14-Feb-12,64.0,42.0,5.7,30.0,Arika
Yamaha Supercross,Wii,Racing,Zoo Digital Publishing,0.07,14-Jul-08,,,tbd,,Coyote Console
Gintama: Banji Oku Chuubu!,Wii,Action,Namco Bandai Games,0.03,,,,,,
The Sims 3 (Mobile Versions),3DS,Simulation,Electronic Arts,0.25,,,,,,
Steel Battalion: Heavy Armor,X360,Simulation,Capcom,0.1,19-Jun-12,38.0,58.0,2.2,81.0,From Software
Open Season,Wii,Platform,Ubisoft,0.07,30-Nov-06,49.0,5.0,4.8,6.0,Ubisoft
Ever17 ã€œthe out of infinityã€œ Premium Edition,PSP,Adventure,CyberFront,0.01,,,,,,
Cabela's Trophy Bucks,Wii,Sports,Activision Value,0.06,3-Jun-08,,,6,5.0,FUN Labs
Harukanaru Toki no Naka de 3: Unmei no Meikyuu Aizouban,PSP,Adventure,Tecmo Koei,0.04,,,,,,
Cocoto Magic Circus,Wii,Shooter,Neko Entertainment,0.02,12-Mar-08,,,tbd,,Neko Entertainment
Bomberman: Act Zero,X360,Puzzle,Konami Digital Entertainment,0.04,29-Aug-06,34.0,41.0,2.2,34.0,Hudson
Dead to Rights: Retribution,X360,Shooter,Namco Bandai Games,0.19,27-Apr-10,61.0,64.0,6.5,23.0,Volatile Games
Beautiful Katamari,X360,Puzzle,Namco Bandai Games,0.29,16-Oct-07,73.0,52.0,7.1,32.0,Now Production
Call of Duty: World at War,PS3,Shooter,Activision,5.11,10-Nov-08,85.0,45.0,7.3,289.0,Treyarch
Cabela's Dangerous Hunts 2011,X360,Sports,Activision,0.29,19-Oct-10,55.0,7.0,tbd,,Activision
Beyond the Labyrinth,3DS,Role-Playing,Unknown,0.03,,,,,,
Tiger Woods PGA Tour 08,PSP,Sports,Electronic Arts,0.37,28-Aug-07,72.0,8.0,tbd,,EA Salt Lake
Gretzky NHL 06,PSP,Sports,Sony Computer Entertainment,0.14,4-Oct-05,65.0,22.0,tbd,,Page 44 Studios
Max Payne 3,PS3,Shooter,Take-Two Interactive,1.61,15-May-12,87.0,31.0,7.7,597.0,Rockstar Studios
Create,PS3,Misc,Electronic Arts,0.11,16-Nov-10,61.0,23.0,5,4.0,EA Bright Light
Pac-Man Party 3D,3DS,Misc,Namco Bandai Games,0.12,8-Nov-11,43.0,11.0,5,8.0,Namco Bandai Games
Shinigami to Shoujo,PSP,Adventure,Takuyo,0.01,,,,,,
Madden NFL 25,X360,Sports,Electronic Arts,1.84,27-Aug-13,80.0,32.0,5.5,121.0,EA Sports
Prince of Persia: Revelations,PSP,Adventure,Ubisoft,0.2,6-Dec-05,65.0,27.0,8,20.0,"Pipeworks Software, Inc."
Atari Classics Evolved,PSP,Misc,Atari,0.08,19-Dec-07,64.0,17.0,tbd,,Stainless Games
LEGO Batman 2: DC Super Heroes,Wii,Action,Warner Bros. Interactive Entertainment,1.14,19-Jun-12,,,6.6,9.0,TT Games
Winning Post 7 2013,PSP,Sports,Tecmo Koei,0.01,,,,,,
Destroy All Humans! Big Willy Unleashed,Wii,Action,THQ,0.13,,,,,,
N3 II: Ninety-Nine Nights,X360,Action,Microsoft Game Studios,0.16,,,,,,
Iron Man,Wii,Action,Sega,0.58,2-May-08,44.0,14.0,7,8.0,Artificial Mind and Movement
Madden NFL 07,PS3,Sports,Electronic Arts,0.51,14-Nov-06,76.0,25.0,4.2,18.0,EA Tiburon
Ookami Kakushi,PSP,Action,Konami Digital Entertainment,0.04,,,,,,
UFC Personal Trainer: The Ultimate Fitness System,Wii,Sports,THQ,0.16,12-Jul-11,54.0,5.0,tbd,,THQ
Disney Sing It: Party Hits,PS3,Misc,Disney Interactive Studios,0.1,12-Oct-10,,,tbd,,Disney Interactive Studios
SD Gundam: Scad Hammers,Wii,Strategy,Namco Bandai Games,0.05,,,,,,
Monster Jam,Wii,Racing,Activision,0.16,19-Nov-07,,,7.8,8.0,Activision
Dungeon Maker: Hunting Ground,PSP,Role-Playing,Global A Entertainment,0.03,19-Jun-07,70.0,18.0,8.5,6.0,Global A
WWE SmackDown vs. Raw 2009,Wii,Fighting,THQ,0.82,9-Nov-08,79.0,18.0,8.5,18.0,Yuke's
SD Gundam G Generation Portable,PSP,Strategy,Namco Bandai Games,0.27,,,,,,
Field & Stream: Total Outdoorsman Challenge,X360,Sports,505 Games,0.08,,,,,,
Hot Shots Tennis: Get a Grip,PSP,Sports,Sony Computer Entertainment,0.18,29-Jun-10,80.0,27.0,8.5,13.0,Clap Hanz
Spec Ops: The Line,X360,Shooter,Take-Two Interactive,0.35,26-Jun-12,76.0,59.0,8,251.0,Yager
Need for Speed: ProStreet,PS3,Racing,Electronic Arts,1.98,13-Nov-07,73.0,26.0,5.5,34.0,EA Black Box
Devil Summoner: Soul Hackers,3DS,Role-Playing,Atlus,0.23,16-Apr-13,74.0,46.0,7.5,57.0,Atlus
Syndicate,X360,Shooter,Electronic Arts,0.14,21-Feb-12,74.0,65.0,7.1,157.0,Starbreeze
Puzzle & Dragons,3DS,Puzzle,GungHo,1.31,,,,,,
Earth Defense Force: Insect Armageddon,X360,Shooter,D3Publisher,0.17,1-Jul-11,68.0,40.0,8.2,42.0,Vicious Cycle
Go! Sudoku (JP sales),PSP,Puzzle,Sony Computer Entertainment,0.11,,,,,,
Freddi Fish: Kelp Seed Mystery,Wii,Adventure,Majesco Entertainment,0.07,29-Aug-08,,,tbd,,Humongous Entertainment
Disney Sing It,PS3,Misc,Disney Interactive Studios,0.31,21-Oct-08,54.0,11.0,3.5,6.0,Zoe Mode
Monster Hunter Freedom 3,PSP,Role-Playing,Capcom,4.87,,,,,,
Saint Seiya: Sanctuary Battle,PS3,Action,Namco Bandai Games,0.21,16-Mar-12,62.0,14.0,6.9,20.0,Dimps Corporation
Transformers: Revenge of the Fallen,Wii,Action,Activision,0.46,23-Jun-09,53.0,17.0,4.1,12.0,Krome Studios
Kyokugen Dasshutsu ADV: Zennin Shiboudesu,3DS,Adventure,ChunSoft,0.03,,,,,,
Super Fruit Fall,Wii,Puzzle,System 3 Arcade Software,0.02,2007,,,,,System 3
Xenoblade Chronicles,Wii,Role-Playing,Nintendo,0.85,6-Apr-12,92.0,59.0,8.6,390.0,Monolith Soft
Kingdoms of Amalur: Reckoning,X360,Role-Playing,Electronic Arts,0.79,7-Feb-12,80.0,71.0,7.7,401.0,Big Huge Games
God Eater 2,PSV,Action,Namco Bandai Games,0.39,,,,,,
Kinect Sports,X360,Sports,Microsoft Game Studios,5.79,4-Nov-10,73.0,51.0,7.4,78.0,Rare Ltd.
Space Chimps,Wii,Platform,Brash Entertainment,0.08,15-Jul-08,,,tbd,,"Brash Entertainment, Red Tribe"
Victorious: Time to Shine,X360,Action,D3Publisher,0.1,15-Nov-11,,,tbd,,High Voltage Software
SpongeBob's Atlantis SquarePantis,Wii,Adventure,THQ,0.6,12-Nov-07,,,4.3,4.0,THQ
Aliens: Colonial Marines,X360,Shooter,Sega,0.59,12-Feb-13,48.0,47.0,3.8,411.0,Gearbox Software
Outdoors Unleashed: Alaska 3D,3DS,Sports,Mastiff,0.01,13-Dec-11,,,tbd,,Mastiff
Dynasty Warriors 8: Xtreme Legends,PSV,Action,Tecmo Koei,0.03,,,,,,
Namco Museum Battle Collection,PSP,Misc,Sony Computer Entertainment,1.06,23-Aug-05,73.0,28.0,7.4,8.0,TOSE
PopStar Guitar,Wii,Misc,Midway Games,0.04,28-Oct-08,,,tbd,,XS Games
Mobile Suit Gundam: MS Sensen 0079,Wii,Simulation,Namco Bandai Games,0.11,,,,,,
Hagane no Renkinjutsushi - Fullmetal Alchemist: Yakusoku no Hi e,PSP,Action,Namco Bandai Games,0.06,,,,,,
The Legend of Zelda: Ocarina of Time,3DS,Action,Nintendo,3.29,,,,,,
Happy Feet Two,X360,Adventure,Warner Bros. Interactive Entertainment,0.05,,,,,,
Saint Seiya Omega: Ultimate Cosmo,PSP,Fighting,Namco Bandai Games,0.01,,,,,,
Go Play: City Sports,Wii,Sports,Majesco Entertainment,0.09,11-Sep-09,,,tbd,,Digital Embryo
428: Fuusa Sareta Shibuya de,PS3,Adventure,Spike,0.02,,,,,,
Dynasty Warriors: Strikeforce,X360,Action,Tecmo Koei,0.2,16-Feb-10,59.0,18.0,6.7,9.0,Omega Force
NHL 12,PS3,Sports,Electronic Arts,0.53,13-Sep-11,86.0,33.0,7.6,42.0,Electronic Arts
Monopoly Streets,Wii,Misc,Electronic Arts,0.68,26-Oct-10,65.0,9.0,tbd,,Electronic Arts
Football Manager Handheld 2008,PSP,Sports,Sega,0.34,,,,,,
Ace Combat: Joint Assault,PSP,Simulation,Namco Bandai Games,0.28,31-Aug-10,71.0,30.0,6.8,10.0,Project Aces
Tiger Woods PGA Tour 12: The Masters,PS3,Sports,Electronic Arts,0.82,29-Mar-11,80.0,41.0,7.3,16.0,Electronic Arts
Dance Central,X360,Misc,MTV Games,3.02,4-Nov-10,82.0,63.0,7.5,72.0,Harmonix Music Systems
EA Sports Active NFL Training Camp,Wii,Sports,Electronic Arts,0.77,16-Nov-10,,,tbd,,EA Sports
Winning Eleven Playmaker 2010: Aoki Samurai no Chousen,Wii,Sports,Konami Digital Entertainment,0.07,,,,,,
Rugby League 3,Wii,Sports,Alternative Software,0.07,,,,,,
Ro-Kyu-Bu!,PSP,Adventure,Kadokawa Shoten,0.08,,,,,,
Sonic Colors,Wii,Platform,Sega,1.57,16-Nov-10,78.0,58.0,8.3,183.0,Sonic Team
Supremacy MMA,X360,Fighting,505 Games,0.07,20-Sep-11,49.0,17.0,4.8,8.0,Kung Fu Factory
Muramasa: The Demon Blade,Wii,Role-Playing,Rising Star Games,0.57,8-Sep-09,81.0,58.0,8.7,79.0,Vanillaware
Assassin's Creed III,X360,Action,Ubisoft,4.81,30-Oct-12,84.0,61.0,6.7,1008.0,Ubisoft
Rebel Raiders: Operation Nighthawk,Wii,Simulation,Kando Games,0.01,23-Sep-08,40.0,4.0,tbd,,Kando Games
Shaun White Skateboarding,PS3,Sports,Ubisoft,0.13,24-Oct-10,61.0,26.0,5.5,6.0,Ubisoft Montreal
Pure Futbol,X360,Sports,Ubisoft,0.16,1-Jun-10,38.0,20.0,7.8,25.0,Ubisoft Vancouver
Xbox Live Arcade Unplugged Volume 1,X360,Misc,Microsoft Game Studios,0.07,5-Sep-06,,,tbd,,
Ouka Sengoku Portable,PSP,Adventure,Alchemist,0.01,,,,,,
Burnout Revenge,X360,Racing,Electronic Arts,0.46,7-Mar-06,89.0,61.0,7.9,119.0,Criterion Games
Power Gig: Rise of the SixString,PS3,Misc,Unknown,0.13,19-Oct-10,36.0,10.0,tbd,,Seven45 Studios
Blazing Souls: Accelate,PSP,Role-Playing,Idea Factory,0.04,18-Oct-10,,,7.7,14.0,Neverland
Fight Night Round 3,PSP,Fighting,Electronic Arts,0.5,20-Feb-06,74.0,22.0,9,18.0,EA Chicago
Alvin and the Chipmunks: The Squeakquel,Wii,Misc,Majesco Entertainment,0.09,1-Dec-09,,,tbd,,ImaginEngine
NBA Live 08,Wii,Sports,Electronic Arts,0.15,1-Oct-07,52.0,11.0,7.1,21.0,EA Canada
Next Hatsune Miku: Project Diva,PS3,Misc,Sega,0.23,,,,,,
Clannad,X360,Adventure,Prototype,0.03,,,,,,
Final Fantasy Type-0,PSP,Role-Playing,Square Enix,0.81,Canceled,,,,,Square Enix
"Hanayaka Kana, Ware ga Ichizoku: Tasogare Polarstar",PSP,Adventure,Idea Factory,0.02,,,,,,
Tour de France 2011,X360,Racing,Focus Home Interactive,0.04,1-Jul-11,46.0,7.0,tbd,,Cyanide
Kamen Rider: Climax Heroes Fourze,PSP,Fighting,Namco Bandai Games,0.05,,,,,,
Sonic & SEGA All-Stars Racing,Wii,Racing,Sega,1.26,,,,,,
Family Game Night 4: The Game Show,X360,Misc,Electronic Arts,0.05,1-Nov-11,,,tbd,,Electronic Arts
Attack of the Movies 3D,X360,Shooter,Majesco Entertainment,0.04,18-May-10,38.0,8.0,0.8,9.0,Panic Button
Coded Arms,PSP,Shooter,Konami Digital Entertainment,0.74,6-Jul-05,59.0,42.0,6.4,58.0,Konami
Guitar Hero: Smash Hits,Wii,Misc,Activision,0.56,16-Jun-09,74.0,17.0,7.7,6.0,Beenox
Luxor: Pharaoh's Challenge,Wii,Puzzle,Funsta,0.03,15-Jan-08,,,tbd,,MumboJumbo
Ultraman Fighting Evolution 0,PSP,Fighting,Banpresto,0.01,,,,,,
Secret Game Portable,PSP,Adventure,Yeti,0.01,,,,,,
Blur,PS3,Racing,Activision,0.64,25-May-10,81.0,58.0,8.2,68.0,Bizarre Creations
Squeeballs Party,Wii,Puzzle,Performance Designed Products,0.17,12-Oct-09,59.0,16.0,tbd,,Performance Designed Products
Skylanders: Spyro's Adventure,PS3,Action,Activision,0.76,16-Oct-11,77.0,18.0,5.3,31.0,Toys for Bob
The Testament of Sherlock Holmes,PS3,Adventure,Focus Home Interactive,0.17,25-Sep-12,65.0,16.0,7.9,17.0,Frogwares
Kokoro Connect: Yochi Random,PSP,Action,Namco Bandai Games,0.02,,,,,,
Platypus,PSP,Shooter,Funsta,0.02,17-Nov-06,59.0,14.0,tbd,,Squashy Software
Mame Goma: Shiro to Kuro no Meikyuu,3DS,Action,Nippon Ichi Software,0.03,,,,,,
Goku Makaimura Kai,PSP,Platform,Capcom,0.01,,,,,,
Reality Fighters,PSV,Fighting,Sony Computer Entertainment,0.08,13-Mar-12,54.0,39.0,3.7,24.0,Novarama
Mass Effect Trilogy,PS3,Action,Electronic Arts,0.23,4-Dec-12,,,8.3,29.0,BioWare
The Eye of Judgment: Legends,PSP,Strategy,Sony Computer Entertainment,0.01,10-Mar-10,69.0,17.0,8.7,13.0,SCEI
Chousoku Henkei Gyrozetter: Albatross no Tsubasa,3DS,Role-Playing,Square Enix,0.05,,,,,,
The Golden Compass,X360,Action,Sega,0.44,4-Dec-07,41.0,25.0,3,12.0,Shiny Entertainment
Ro-Kyu-Bu! Lost Secret,PSP,Adventure,Kadokawa Shoten,0.02,,,,,,
Memories Off,PSP,Adventure,5pb,0.01,,,,,,
Hakuouki Portable,PSP,Adventure,Idea Factory,0.1,,,,,,
Ultimate Shooting Collection,Wii,Shooter,Milestone,0.07,2-Feb-09,66.0,4.0,tbd,,MileStone Inc.
Nicola Kanshuu: Model Oshare * Audition Platina,3DS,Action,Alchemist,0.07,,,,,,
Hasbro Family Game Night 3,PS3,Misc,Electronic Arts,0.22,26-Oct-10,,,tbd,,Electronic Arts
Tom Clancy's EndWar,PS3,Strategy,Ubisoft,0.6,4-Nov-08,76.0,33.0,6.8,36.0,Ubisoft Shanghai
Mini Ninjas,PS3,Action,Eidos Interactive,0.3,8-Sep-09,73.0,37.0,8.7,52.0,Io Interactive
Ore no Yome: Anata Dake no Hanayome,X360,Adventure,Idea Factory,0.02,,,,,,
Sengoku Basara: Samurai Heroes,PS3,Action,Capcom,0.6,12-Oct-10,61.0,37.0,7.9,22.0,Capcom
Challenge Me: Brain Puzzles 2,Wii,Puzzle,O-Games,0.02,26-Oct-10,,,tbd,,O-Games
Totally Spies! Totally Party,Wii,Misc,Ubisoft,0.1,,,,,,
Buzz! Master Quiz,PSP,Misc,Sony Computer Entertainment,0.83,,,,,,
Cruis'n,Wii,Racing,Midway Games,0.11,27-Nov-07,25.0,7.0,3.7,15.0,Midway Studios - San Diego
Grand Theft Auto V,X360,Action,Take-Two Interactive,13.33,17-Sep-13,97.0,58.0,8.1,2714.0,Rockstar North
Spec Ops: The Line,PS3,Shooter,Take-Two Interactive,0.44,26-Jun-12,77.0,27.0,8,242.0,Yager
Need For Speed: Undercover,PSP,Racing,Electronic Arts,0.74,17-Nov-08,52.0,7.0,6.8,34.0,Piranha Games
My Horse & Me: Riding for Gold,Wii,Sports,Atari,0.05,,,,,,
Sniper Elite V2,X360,Shooter,505 Games,0.73,2-May-12,67.0,37.0,7,95.0,Rebellion
SoulCalibur Legends,Wii,Action,Namco Bandai Games,0.17,20-Nov-07,52.0,35.0,6.1,18.0,Namco Bandai Games
The BIGS 2,PS3,Sports,Take-Two Interactive,0.12,7-Jul-09,80.0,18.0,7.6,16.0,Blue Castle Games
iCarly,Wii,Adventure,Activision,0.44,27-Oct-09,,,tbd,,Blitz Games
Medal of Honor: Airborne,PS3,Shooter,Electronic Arts,1.14,19-Nov-07,75.0,16.0,7.5,31.0,Electronic Arts
Aikatsu! 2-nin no My Princess,3DS,Action,Namco Bandai Games,0.21,,,,,,
NBA,PSP,Sports,Sony Computer Entertainment,0.21,16-Mar-05,57.0,25.0,6.9,13.0,989 Sports
WWE SmackDown vs. Raw 2011,X360,Fighting,THQ,0.84,26-Oct-10,75.0,49.0,7.5,31.0,Yuke's
Calvin Tucker's Redneck Jamboree,Wii,Misc,Zoo Games,0.29,19-Dec-08,26.0,6.0,tbd,,Humagade
Borderlands,X360,Shooter,Take-Two Interactive,3.23,20-Oct-09,84.0,83.0,8.3,612.0,Gearbox Software
TalkMan (Japan),PSP,Misc,Sony Computer Entertainment,0.18,,,,,,
Pop'n Music Portable,PSP,Misc,Konami Digital Entertainment,0.13,,,,,,
The Legend of Zelda: Twilight Princess,Wii,Action,Nintendo,6.92,19-Nov-06,95.0,73.0,9,1250.0,Nintendo
Star Wars The Clone Wars: Lightsaber Duels,Wii,Action,LucasArts,1.62,11-Nov-08,56.0,24.0,6.7,14.0,Krome Studios
Assassin's Creed,X360,Adventure,Ubisoft,5.39,13-Nov-07,81.0,77.0,7.8,844.0,Ubisoft Montreal
PES 2009: Pro Evolution Soccer,Wii,Sports,Konami Digital Entertainment,0.44,,,,,,
X-Blades,X360,Action,SouthPeak Games,0.13,6-Feb-09,50.0,39.0,5.8,11.0,Gaijin Entertainment
Warriors Orochi 2,PSP,Action,Tecmo Koei,0.28,28-Aug-09,56.0,14.0,tbd,,Omega Force
Angry Birds: Star Wars,X360,Strategy,Activision,0.13,29-Oct-13,59.0,3.0,5.4,23.0,Rovio Entertainment Ltd
NERF N-Strike,Wii,Shooter,Electronic Arts,1.08,28-Oct-08,66.0,13.0,5.2,6.0,EA Redwood Shores
Samurai Warriors 2,X360,Action,Tecmo Koei,0.07,19-Sep-06,52.0,30.0,8.4,14.0,Omega Force
Super Mario 3D World,WiiU,Platform,Nintendo,1.77,22-Nov-13,93.0,79.0,8.9,554.0,Nintendo
Dreamworks Madagascar Kartz,Wii,Racing,Activision,0.47,27-Oct-09,,,tbd,,Activision
Cruise Ship Vacation Games,Wii,Puzzle,Avanquest,0.13,3-Sep-09,,,tbd,,Activision
Domino Rally,Wii,Action,Nordcurrent,0.05,18-Aug-09,57.0,4.0,tbd,,RED Entertainment
Clannad,PS3,Adventure,Prototype,0.03,,,,,,
Surf's Up,PS3,Sports,Ubisoft,0.04,30-May-07,59.0,8.0,5.1,7.0,Ubisoft Montreal
Safari Adventures: Africa,Wii,Adventure,Neko Entertainment,0.03,27-Oct-09,,,tbd,,Conspiracy Entertainment
Operation Flashpoint: Red River,X360,Shooter,Codemasters,0.25,7-Jun-11,69.0,64.0,6.3,23.0,Codemasters
WWE All Stars,PSP,Fighting,THQ,0.16,29-Mar-11,70.0,4.0,tbd,,THQ
NBA 2K12,X360,Sports,Take-Two Interactive,2.52,4-Oct-11,90.0,42.0,7.7,117.0,Visual Concepts
Suzumiya Haruhi-Chan no Mahjong,PSP,Misc,Kadokawa Shoten,0.02,,,,,,
Jerry Rice and Nitus' Dog Football,Wii,Sports,Tommo,0.04,16-Aug-11,,,8.5,4.0,Judo Baby
We Sing Encore,Wii,Misc,Nordic Games,0.41,,,,,,
God of War III,PS3,Action,Sony Computer Entertainment,4.64,16-Mar-10,92.0,101.0,8.7,2085.0,SCE Santa Monica
Mega Minis Volume 3,PSP,Misc,Sony Computer Entertainment,0.02,,,,,,
Dance Central 3,X360,Misc,Microsoft Game Studios,0.71,16-Oct-12,86.0,43.0,7.8,33.0,Harmonix Music Systems
I'm A Celebrity: Get Me Out of Here!,Wii,Misc,Mindscape,0.17,,,,,,
NBA Live 09,PS3,Sports,Electronic Arts,0.51,7-Oct-08,75.0,32.0,7.8,15.0,EA Canada
Sesame Street: Cookie's Counting Carnival,Wii,Misc,Warner Bros. Interactive Entertainment,0.25,19-Oct-10,,,tbd,,Black Lantern Studios
Battlefield: Bad Company 2,PS3,Shooter,Electronic Arts,2.84,2-Mar-10,88.0,59.0,8.6,476.0,EA DICE
Kung Fu Panda,X360,Platform,Activision,3.02,3-Jun-08,75.0,42.0,7.6,23.0,"Luxoflux, Inc."
Pro Yakyuu Spirits 5 Kanzenban,PS3,Sports,Konami Digital Entertainment,0.03,,,,,,
Accel World: Ginyoku no Kakusei,PS3,Adventure,Namco Bandai Games,0.03,,,,,,
GunPey,PSP,Puzzle,Atari,0.05,17-Nov-06,62.0,24.0,tbd,,Q Entertainment
Judie no Atelier: Guramnat no Renkinjutsu - Toraware no Morito,PSP,Role-Playing,Gust,0.03,,,,,,
Shimano Xtreme Fishing,Wii,Sports,Mastiff,0.12,16-Oct-09,,,tbd,,eV Interactive
Tom Clancy's  Ghost Recon Advanced Warfighter (weekly JP sales),X360,Shooter,Ubisoft,0.01,,,,,,
Major Minor's Majestic March,Wii,Misc,Majesco Entertainment,0.05,2-Apr-09,46.0,16.0,tbd,,NanaOn-Sha
Valhalla Knights,PSP,Role-Playing,Rising Star Games,0.24,17-Apr-07,53.0,29.0,7.1,11.0,K2 LLC
Yu-Gi-Oh! Zexal Clash! Duel Carnival!,3DS,Misc,Konami Digital Entertainment,0.06,,,,,,
Uta no * Prince-Sama,PSP,Adventure,Broccoli,0.02,,,,,,
Octomania,Wii,Puzzle,Midas Interactive Entertainment,0.06,31-Mar-08,66.0,9.0,tbd,,Compile Heart
Kid Fit Island Resort,Wii,Sports,Avanquest,0.05,26-Oct-10,,,tbd,,Red Wagon
Tony Hawk: Shred,PS3,Sports,Activision,0.23,26-Oct-10,56.0,5.0,6.8,5.0,Robomodo
The BIGS,X360,Sports,Take-Two Interactive,0.26,25-Jun-07,79.0,23.0,8.9,20.0,Blue Castle Games
Ragnarok Odyssey,PSV,Role-Playing,GungHo,0.33,30-Oct-12,66.0,21.0,8,102.0,Game Arts
Lollipop Chainsaw,X360,Action,Warner Bros. Interactive Entertainment,0.41,12-Jun-12,70.0,64.0,7,228.0,Grasshopper Manufacture
Sonic the Hedgehog,PS3,Platform,Sega,1.09,30-Jan-07,43.0,17.0,3.9,86.0,Sonic Team
Transformers: Cybertron Adventures,Wii,Action,Activision,0.25,22-Jun-10,41.0,15.0,7.1,7.0,Next Level Games
Let's Play Ballerina,Wii,Sports,Deep Silver,0.02,8-Jun-10,,,tbd,,
Michael Jackson: The Experience,X360,Misc,Ubisoft,0.79,12-Apr-11,63.0,31.0,6.2,24.0,Ubisoft Montreal
Bakugan: Battle Brawlers,X360,Action,Activision,0.21,20-Oct-09,60.0,16.0,4.3,7.0,Now Production
Transformers: Prime,WiiU,Action,Activision,0.06,,,,,,
Danball Senki,PSP,Role-Playing,Level 5,0.39,,,,,,
Block Party,Wii,Misc,Activision,0.15,11-Nov-08,,,2.8,4.0,Activision
Jikkyou Powerful Pro Yakyuu 2010,PS3,Sports,Konami Digital Entertainment,0.27,,,,,,
